iter,|u|,lambda,minS11,avgS11,maxS11,avgSlopeFrac
56,   3.206147e+00,   1.780000e+02,   4.213203e+05,   4.715650e+05,  -1.000000e+40,   7.981065e-01
57,   3.287578e+00,   1.810000e+02,   4.268202e+05,   4.783260e+05,  -1.000000e+40,   7.900756e-01
58,   3.370407e+00,   1.840000e+02,   4.322304e+05,   4.850159e+05,  -1.000000e+40,   7.817696e-01
59,   3.454657e+00,   1.870000e+02,   4.375486e+05,   4.916324e+05,  -1.000000e+40,   7.731834e-01
60,   3.540348e+00,   1.900000e+02,   4.427720e+05,   4.981729e+05,  -1.000000e+40,   7.643125e-01
61,   3.627500e+00,   1.930000e+02,   4.478983e+05,   5.046351e+05,  -1.000000e+40,   7.551536e-01
62,   3.716130e+00,   1.960000e+02,   4.529249e+05,   5.110163e+05,  -1.000000e+40,   7.457041e-01
63,   3.806254e+00,   1.990000e+02,   4.578494e+05,   5.173143e+05,  -1.000000e+40,   7.359626e-01
64,   3.897883e+00,   2.020000e+02,   4.626692e+05,   5.235263e+05,  -1.000000e+40,   7.259289e-01
65,   3.991029e+00,   2.050000e+02,   4.673820e+05,   5.296500e+05,  -1.000000e+40,   7.156042e-01
66,   4.085698e+00,   2.080000e+02,   4.719854e+05,   5.356829e+05,  -1.000000e+40,   7.049912e-01
67,   4.181894e+00,   2.110000e+02,   4.764772e+05,   5.416226e+05,  -1.000000e+40,   6.940942e-01
68,   4.279618e+00,   2.140000e+02,   4.808552e+05,   5.474666e+05,  -1.000000e+40,   6.829192e-01
69,   4.378865e+00,   2.170000e+02,   4.851175e+05,   5.532126e+05,  -1.000000e+40,   6.714740e-01
70,   4.479631e+00,   2.200000e+02,   4.892620e+05,   5.588585e+05,  -1.000000e+40,   6.597681e-01
71,   4.581902e+00,   2.230000e+02,   4.932871e+05,   5.644021e+05,  -1.000000e+40,   6.478132e-01
72,   4.685664e+00,   2.260000e+02,   4.971912e+05,   5.698414e+05,  -1.000000e+40,   6.356227e-01
73,   4.790898e+00,   2.290000e+02,   5.009729e+05,   5.751745e+05,  -1.000000e+40,   6.232120e-01
74,   4.897580e+00,   2.320000e+02,   5.046310e+05,   5.803996e+05,  -1.000000e+40,   6.105984e-01
75,   5.005682e+00,   2.350000e+02,   5.081645e+05,   5.855152e+05,  -1.000000e+40,   5.978010e-01
76,   5.115170e+00,   2.380000e+02,   5.115727e+05,   5.905200e+05,  -1.000000e+40,   5.848406e-01
77,   5.226009e+00,   2.410000e+02,   5.148549e+05,   5.954126e+05,  -1.000000e+40,   5.717397e-01
78,   5.338156e+00,   2.440000e+02,   5.180111e+05,   6.001921e+05,  -1.000000e+40,   5.585219e-01
79,   5.451569e+00,   2.470000e+02,   5.210411e+05,   6.048577e+05,  -1.000000e+40,   5.452122e-01
80,   5.566196e+00,   2.500000e+02,   5.239453e+05,   6.094088e+05,  -1.000000e+40,   5.318367e-01
81,   5.681987e+00,   2.530000e+02,   5.267240e+05,   6.138451e+05,  -1.000000e+40,   5.184218e-01
82,   5.798886e+00,   2.560000e+02,   5.293782e+05,   6.181666e+05,  -1.000000e+40,   5.049948e-01
83,   5.916834e+00,   2.590000e+02,   5.319087e+05,   6.223732e+05,  -1.000000e+40,   4.915827e-01
84,   6.035771e+00,   2.620000e+02,   5.343168e+05,   6.264655e+05,  -1.000000e+40,   4.782128e-01
85,   6.155633e+00,   2.650000e+02,   5.366041e+05,   6.304439e+05,  -1.000000e+40,   4.649118e-01
86,   6.276356e+00,   2.680000e+02,   5.387723e+05,   6.343094e+05,  -1.000000e+40,   4.517057e-01
87,   6.397874e+00,   2.710000e+02,   5.408234e+05,   6.380628e+05,  -1.000000e+40,   4.386196e-01
